timestamp,frame,range_bin,I,Q,phase
0.07925534248352051,1,0,832,-1890,-1.1561121535346166
0.12403345108032227,2,0,94,-2151,-1.5271235095638471
0.18399357795715332,3,0,765,-2048,-1.2133105211740904
0.22945475578308105,4,0,1325,-1670,-0.9000846667952193
0.27387189865112305,5,0,885,-2040,-1.1614758715005644
0.3342921733856201,6,0,1570,-1713,-0.8289283693159635
0.38013648986816406,7,0,2066,-1047,-0.4690540054469009
0.42388033866882324,8,0,2169,-74,-0.034103876720391654
0.4842948913574219,9,0,2063,197,0.09520332470101184
0.5295205116271973,10,0,1944,367,0.18658999251800712
0.5748717784881592,11,0,1855,916,0.4586757520002487
0.6340365409851074,12,0,1408,1463,0.8045529085236568
0.6789321899414062,13,0,1305,1315,0.7892149387564963
0.7245371341705322,14,0,660,1303,1.1019436208949687
0.7844722270965576,15,0,-495,1434,1.9031781254251234
0.8295865058898926,16,0,-1130,1455,2.2311253800802326
0.873502254486084,17,0,-699,1348,2.049170411631608
0.9342601299285889,18,8,-1183,-307,-2.8876838845308472
0.9801881313323975,19,8,-1315,40,3.1111837791325603
1.023723840713501,20,8,-1325,399,2.84909758164187
1.0837585926055908,21,8,-1226,713,2.614837800398091
1.129185438156128,22,8,-1091,916,2.443169332056714
1.1740007400512695,23,8,-971,1018,2.3325689220420776
1.234492540359497,24,8,-839,1138,2.2060927816703986
1.2788958549499512,25,8,-607,1275,2.0151241985930373
1.3238954544067383,26,8,-484,1345,1.916220262607616
1.384598731994629,27,8,-522,1339,1.9425162650792267
1.4288973808288574,28,0,-654,1327,2.0287003472012617
1.4749608039855957,29,0,-1113,1134,2.346848967884855
1.5343308448791504,30,0,-1262,739,2.611844731310954
1.5793898105621338,31,0,-1333,363,2.875721508432635
1.6248557567596436,32,9,1153,449,0.3713515976055272
1.6847505569458008,33,9,1274,277,0.2140932706528053
1.7294983863830566,34,8,-411,1174,1.9075470273515658
1.7745661735534668,35,8,-451,1151,1.94424258387004
1.83384370803833,36,8,-588,1115,2.056087113587493
1.8795459270477295,37,8,-603,1047,2.093330170612929
1.9249403476715088,38,8,-789,915,2.2823851542197993
1.9850077629089355,39,8,-674,877,2.226050963042419
2.0294559001922607,40,8,-565,959,2.103203671859271
2.073819160461426,41,8,-658,984,2.1602047401005233
2.1345291137695312,42,9,1284,600,0.43713866872033735
2.1798346042633057,43,9,1562,788,0.4672263258292697
2.2242066860198975,44,9,1642,831,0.4685078380459846
2.284848928451538,45,9,1565,856,0.5005099800700242
2.32898211479187,46,9,1609,840,0.4811421275999318
2.3741140365600586,47,9,1750,537,0.2977358182312177
2.4342775344848633,48,9,1702,210,0.12276379091356908
2.479464530944824,49,10,-729,-1260,-2.095310487638593
2.5244481563568115,50,11,48,1372,1.5358251673979697
2.5842974185943604,51,11,181,1327,1.435234984669381
2.6296403408050537,52,11,219,1268,1.3997706249271722
2.674901008605957,53,11,89,1203,1.4969491474299708
2.7343971729278564,54,11,81,1139,1.4998008355441286
2.779261350631714,55,11,-84,1115,1.645990607740319
2.823850631713867,56,8,320,1052,1.2755067984713262
2.8845598697662354,57,8,478,1064,1.1485678403427366
2.929574728012085,58,8,333,1173,1.2941864262356093
2.974700450897217,59,8,225,1260,1.39408747072486
3.0343966484069824,60,8,-78,1303,1.6305868335626363
3.0790843963623047,61,9,1393,-110,-0.07880273539587035
3.124112606048584,62,9,1425,54,0.0378766133675201
3.184116840362549,63,8,-832,1119,2.210137964452944
3.2288897037506104,64,0,1423,436,0.29731333712118274
3.2735233306884766,65,0,1396,540,0.3690924807348175
3.3347525596618652,66,0,1429,296,0.20424937001348312
3.3796143531799316,67,0,1616,-241,-0.1480425671265458
3.423814058303833,68,0,1795,-331,-0.182352637040642
3.484623432159424,69,0,1958,120,0.06121046665121432
3.5288712978363037,70,0,1920,155,0.08055447326918978
3.5744259357452393,71,0,1724,-435,-0.24716117227915974
3.6347148418426514,72,0,1385,-562,-0.38547589763884865
3.678766965866089,73,0,1283,-442,-0.3317711931136066
3.7236177921295166,74,0,1202,-413,-0.3309565645326002
3.7845282554626465,75,0,1252,-433,-0.33296994516914763
3.829352855682373,76,10,-875,-938,-2.321459431752299
3.874194383621216,77,9,1242,-395,-0.3079198420767713
3.934520721435547,78,9,1347,-670,-0.4615667558804788
3.9795072078704834,79,9,1172,-795,-0.5960321998746033
4.023507356643677,80,8,617,1201,1.0962183813268085
4.084080457687378,81,8,970,917,0.7573186351465719
4.1287665367126465,82,8,950,837,0.7222477736678719
4.174525022506714,83,8,932,850,0.7394148881071063
4.233949422836304,84,8,609,1147,1.082696134792397
4.27965235710144,85,9,1314,-570,-0.40929219792623106
4.324329376220703,86,8,-242,1515,1.7291941423428028
4.38437819480896,87,9,1379,-425,-0.2989574835487406
4.430074691772461,88,8,241,1320,1.3902095915652317
4.473885774612427,89,8,345,1293,1.3100495307164295
4.534602403640747,90,8,-280,1397,1.7686048253687252
4.579415321350098,91,8,-991,1125,2.2929519086851666
4.624894857406616,92,8,-1329,835,2.5806295957720593
4.6845862865448,93,8,-1503,747,2.6803431215268168
4.730119466781616,94,8,-789,1170,2.1641054843054928
4.77423095703125,95,8,614,1041,1.0378976156160518
4.834531307220459,96,8,998,794,0.6720468512642438
4.879605054855347,97,8,1037,595,0.5209097808482157
4.9248106479644775,98,8,872,610,0.6104180352226518
4.984789133071899,99,0,-949,541,2.623468453373823
5.029607772827148,100,0,-798,614,2.4857759179870955
5.075148582458496,101,0,-891,402,2.7177591587805248
5.1346049308776855,102,8,535,974,1.0685050574628705
5.1798083782196045,103,8,367,1202,1.274461893992948
5.223578691482544,104,8,-194,1414,1.707144488687187
5.284376621246338,105,8,-698,1399,2.0335858124365425
5.328649282455444,106,8,-1056,1201,2.2920380864463223
5.374084234237671,107,8,-913,1199,2.221596576031878
5.434034824371338,108,8,-283,1293,1.7862693481241552
5.479261875152588,109,8,295,1056,1.2983848482990459
5.524946928024292,110,8,621,688,0.836537645932564
5.584789514541626,111,8,780,553,0.6167236647269491
5.62911319732666,112,8,658,803,0.8843213060301134
5.674359083175659,113,8,271,1056,1.3195886007416038
5.7347252368927,114,8,368,1113,1.2514736068511416
5.77935004234314,115,8,702,882,0.8985491449879328
5.823861122131348,116,8,704,914,0.9144665182052338
5.884460210800171,117,8,980,-58,-0.05911471730493129
5.9292449951171875,118,8,1002,266,0.2594839629853985
5.973819017410278,119,8,801,767,0.763717887391773
6.034360408782959,120,8,372,1100,1.244688501498957
6.0790698528289795,121,8,555,1100,1.103518969669569
6.1249659061431885,122,8,1019,766,0.644599319835933
6.184796571731567,123,8,840,214,0.24945540994083346
6.2294602394104,124,8,614,628,0.7966698277235623
6.274293661117554,125,8,1011,656,0.5755751651058403
6.335290908813477,126,8,698,723,0.8029895927619125
6.379088401794434,127,8,468,1068,1.1577966100742025
6.424697637557983,128,8,461,1203,1.204848528920547
6.484591960906982,129,8,776,711,0.7417138004329691
6.528748273849487,130,8,813,986,0.8812679022691888
6.574736595153809,131,8,725,1050,0.9664908199286669
6.634522199630737,132,8,963,690,0.6217213718789806
6.6793529987335205,133,8,1094,186,0.1684079251331715
6.725110769271851,134,8,1008,350,0.33419804426550326
6.784913539886475,135,8,789,555,0.6130189540010788
6.829608917236328,136,8,1104,69,0.06241880999595735
6.8738017082214355,137,8,855,-552,-0.5732857593380705
6.934460878372192,138,8,560,-935,-1.0311636084233353
6.979112148284912,139,8,369,-1224,-1.2779909154677456
7.023463010787964,140,8,396,-1023,-1.201462669121271
7.084976434707642,141,7,-602,835,2.195450075661034
7.129598617553711,142,8,754,510,0.5947057328888528
7.174606800079346,143,8,840,942,0.8425748322738381
7.2345311641693115,144,8,-658,1155,2.0886361060562297
7.279611110687256,145,8,-1154,418,2.7940746077241503
7.324007034301758,146,8,-1381,-43,-3.110465852825484
7.3845930099487305,147,8,-1336,398,2.852059726464877
7.429204940795898,148,8,-917,774,2.4405591127109614
7.474201202392578,149,8,-759,581,2.488257168402032
7.534604072570801,150,8,-313,951,1.8887566277057968
7.5794596672058105,151,8,-336,1023,1.888141623344728
7.624570369720459,152,8,339,961,1.2316670131940082
7.684071063995361,153,7,-522,955,2.071023007183151
7.729533672332764,154,8,749,-902,-0.8778053459697246
7.7741827964782715,155,8,862,-576,-0.5890726940968474
7.83565616607666,156,8,629,-927,-0.9746235658493243
7.880194664001465,157,8,429,-1121,-1.205297332898867
7.924378156661987,158,8,694,-929,-0.929192421658436
7.984117269515991,159,8,1198,-423,-0.3394235959412453
8.029285430908203,160,0,-813,-419,-2.6657207146612403
8.074128150939941,161,8,1468,-230,-0.15541231768026076
8.134770631790161,162,0,-765,-155,-2.941684536213068
8.179379224777222,163,8,764,875,0.8530191288575101
8.223634243011475,164,8,909,413,0.4264617106350262
8.284616231918335,165,0,2093,691,0.3188811218128525
8.328493595123291,166,0,1000,-148,-0.1469333858330249
8.374178409576416,167,0,606,-626,-0.8016305038005679
8.434099674224854,168,0,1393,-262,-0.1859113546340103
8.479295015335083,169,0,463,2399,1.3801433200883375
8.524519920349121,170,0,-3168,474,2.9930731792429617
8.584741830825806,171,11,-1255,-748,-2.6041077616340242
8.629079103469849,172,10,919,-504,-0.5016310396439537
8.67401671409607,173,0,-7,881,1.578741676056386
8.734436273574829,174,0,1684,-112,-0.06641050967024048
8.77957820892334,175,0,1544,287,0.1837833121173935
8.824280261993408,176,0,623,1445,1.1637349845012837
8.88505506515503,177,0,-2046,236,3.0267531511707992
8.929238557815552,178,0,2213,-723,-0.31577398877382934
8.974717855453491,179,0,-2446,-190,-3.0640704811052903
9.034740447998047,180,0,-1704,1632,2.377773873758875
9.078809976577759,181,0,-1677,290,2.9703582707804537
9.12422251701355,182,0,-1168,-628,-2.6482641548692705
9.183740377426147,183,10,1430,248,0.17171858741678606
9.229558944702148,184,0,-1426,355,2.8976042525587804
9.27355432510376,185,0,-1377,1018,2.504982349066668
9.333938837051392,186,0,-1448,593,2.7528975205183195
9.37867784500122,187,0,-1620,365,2.9199844607914662
9.423940420150757,188,0,-1873,1175,2.581315407034138
9.484241008758545,189,0,-2595,901,2.80740893836687
9.529449224472046,190,0,-3037,-52,-3.1244721664944053
9.574644565582275,191,0,-2600,1104,2.740047823940492
9.63377332687378,192,0,-2147,1445,2.5491961226879414
9.679329872131348,193,0,-2027,1463,2.5164138920546164
9.72484016418457,194,0,-2521,1490,2.607790919081444
9.784283876419067,195,0,-2645,1502,2.6251378838217825
9.8293936252594,196,0,-1089,2501,1.9814645001662956
9.87394380569458,197,0,-417,1726,1.8078527406941114
9.934345483779907,198,10,1627,-532,-0.31602366337613147
9.978667736053467,199,10,1232,-1100,-0.7288547264526309
10.024826288223267,200,0,1164,1047,0.7325302420876171
10.083899021148682,201,10,950,-1084,-0.8511831397599795
10.129387140274048,202,10,824,-1233,-0.9816715991624825
10.173835754394531,203,11,-1270,134,3.0364697930676483
10.234259366989136,204,0,1208,-916,-0.6487781046653387
10.27957820892334,205,0,1337,-758,-0.5157565702909293
10.323431253433228,206,0,1068,-1026,-0.7653435458132016
10.383678436279297,207,0,813,-1165,-0.9615120314374577
10.42954421043396,208,0,729,-1094,-0.9830046937083341
10.473448753356934,209,10,786,-1102,-0.9512338898279834
10.533933877944946,210,10,638,-1346,-1.128166643356216
10.579416751861572,211,10,864,-1332,-0.9953716762596118
10.623501539230347,212,10,877,-1409,-1.0140492160139534
10.684665203094482,213,10,867,-1369,-1.0062443114351904
10.729132890701294,214,10,918,-1366,-0.9790862916324183
10.774462223052979,215,10,920,-1277,-0.9464845247285056
10.833951234817505,216,10,938,-1181,-0.8995761321653893
10.878999948501587,217,0,1381,-489,-0.34031491541175574
10.9246826171875,218,0,1415,-119,-0.08390151012080767
10.98403549194336,219,0,1495,-212,-0.14086680302524357
11.028765201568604,220,0,1494,-423,-0.2759111285155254
11.074371576309204,221,0,1475,-461,-0.3029234709613255
11.134074687957764,222,0,1587,-141,-0.08861420304447155
11.179146528244019,223,0,1537,17,0.011060056486792447
11.224502086639404,224,0,1457,-25,-0.017156861337980035
11.28398060798645,225,0,1352,186,0.13671575381992535
11.329543590545654,226,0,1353,76,0.05611250434989307
11.374717235565186,227,0,1482,46,0.031029174069575723
11.434264183044434,228,10,635,-1241,-1.0978451684559836
11.478967905044556,229,10,736,-1301,-1.0559651803743781
11.524120807647705,230,0,1510,309,0.20184902321809228
11.584558725357056,231,10,735,-1266,-1.04478707678961
11.62906789779663,232,10,722,-1171,-1.018284160800879
11.673918724060059,233,0,1383,188,0.1351082238519914
11.73469853401184,234,0,1438,17,0.011821424268578427
11.779080867767334,235,0,1265,-22,-0.017389551289330653
11.823989152908325,236,11,-1225,41,3.1081357549100668
11.884191513061523,237,0,1177,205,0.17244179153534533
11.928740978240967,238,0,1257,145,0.11484640944505095
11.97486424446106,239,0,1225,65,0.0530115105992924
12.034663200378418,240,10,893,-826,-0.7464417332481185
12.079615592956543,241,0,1286,344,0.26137661011582664
12.123762845993042,242,0,1281,550,0.4055511061481044
12.184631586074829,243,10,996,-967,-0.7706259318535503
12.229152202606201,244,10,1094,-751,-0.6015887240867762
12.274512529373169,245,10,1084,-881,-0.6824554582318434
12.33450722694397,246,10,1017,-913,-0.7315642186623482
12.379536628723145,247,10,1083,-882,-0.6834626264713209
12.424794673919678,248,10,1045,-813,-0.6611756542765148
12.484651327133179,249,10,925,-864,-0.7513141072366374
12.528912544250488,250,10,926,-816,-0.7223360828162141
12.574742555618286,251,10,824,-904,-0.8316614258218052
12.634502410888672,252,10,799,-870,-0.8279129729424733
12.679515600204468,253,10,930,-718,-0.6574600250333451
12.724403858184814,254,10,961,-660,-0.6018013945916649
12.784183263778687,255,10,969,-665,-0.6014547068602731
12.829363822937012,256,0,-453,1128,1.952677588467157
12.8746919631958,257,0,-864,1035,2.266389303638177
12.934239149093628,258,10,1133,-750,-0.5847366425122641
12.97877812385559,259,10,1240,-936,-0.6465906973148464
13.023359537124634,260,10,1326,-759,-0.5198767522071095
13.084324836730957,261,10,1340,-436,-0.3145693492976212
13.129433155059814,262,0,1121,1299,0.8588196657874203
13.174527883529663,263,10,1165,-452,-0.37010401790545144
13.234384775161743,264,10,1098,-740,-0.5930297920307404
13.279577493667603,265,10,1237,-492,-0.37855352703521516
13.323699712753296,266,0,-1404,472,2.8172801919031185
13.384536266326904,267,0,-1660,1035,2.5840770549718
13.429605960845947,268,0,-534,1502,1.9123855479704635
13.47389841079712,269,10,914,-708,-0.6590707848206407
13.534611940383911,270,0,-163,1950,1.6541921951842216
13.579201459884644,271,0,784,1722,1.1435564638731637
13.623499155044556,272,10,690,-886,-0.9091283532769976
13.684518098831177,273,0,-1283,218,2.973285825987697
13.728969812393188,274,0,-1707,-787,-2.709593602404774
13.774246454238892,275,0,-2397,300,3.0170836233079594
13.834080457687378,276,0,-1255,2145,2.100174177814077
13.878754377365112,277,2,260,1053,1.3287246322237776
13.924360513687134,278,10,624,-1002,-1.0138133893539862
13.98401165008545,279,0,282,2051,1.4341591458089955
14.029526472091675,280,0,191,1326,1.427738077737448
14.073472499847412,281,0,-1655,463,2.868808085338849
14.133853197097778,282,0,-1709,-1691,-2.361488558379621
14.17984127998352,283,0,-2629,-893,-2.814147399932843
14.224586009979248,284,0,-3085,1202,2.7700601788272157
14.28465986251831,285,0,-1354,2119,2.1393860356600203
14.328997611999512,286,0,-2171,924,2.739205175052865
14.374599695205688,287,10,378,-1130,-1.247984201671762
14.433976411819458,288,10,336,-1127,-1.2810499069319772
14.47957992553711,289,10,116,-1247,-1.478040006606753
14.524855613708496,290,0,2386,-631,-0.25854048518459916
14.584314823150635,291,0,3162,831,0.2569967802295727
14.629425525665283,292,0,2143,-1150,-0.4925211131143835
14.674695253372192,293,0,-2008,-1173,-2.6128991443578777
14.734301567077637,294,0,-2675,1147,2.7365204107515844
14.779299974441528,295,0,-1936,-442,-2.917133953751474
14.824852466583252,296,10,437,-1104,-1.1938870564700756
14.883857011795044,297,10,528,-1141,-1.1373886071101056
14.92974042892456,298,10,408,-1098,-1.2150232494644035
14.97468900680542,299,0,2285,2167,0.758899425862538
15.034624099731445,300,0,-151,2971,1.6215772702153692
15.079240083694458,301,0,729,3203,1.3470093803713556
15.12465786933899,302,0,2907,1172,0.38323165029901873
15.184360265731812,303,0,847,-1482,-1.051577548691504
15.229013681411743,304,0,1827,-1695,-0.7479369915380041
15.2747220993042,305,10,274,-1266,-1.357654037095147
15.33474087715149,306,10,238,-1183,-1.3722631110080652
15.37955927848816,307,0,1666,399,0.23506818482565264
15.42462420463562,308,0,3662,2718,0.6385015890063845
15.484248161315918,309,0,229,3591,1.5071120238452973
15.52921748161316,310,0,2148,3997,1.0776758899714485
15.574755430221558,311,0,4330,-351,-0.0808854960038589
15.634393453598022,312,0,1388,-1803,-0.9147255565424478
15.67961573600769,313,0,1526,-345,-0.22234336084041248
15.724686861038208,314,10,134,-1309,-1.4687834559723223
15.78464937210083,315,10,-112,-1063,-1.6757712039215658
15.829662799835205,316,0,913,-928,-0.793545728896858
15.874470710754395,317,0,2728,1350,0.4595336151668852
15.933969259262085,318,0,2016,1604,0.6720736352610428
